iter	Passed	Remaining
0	142	142550
1	146	73320
2	151	50191
3	154	38592
4	158	31498
5	161	26790
6	165	23412
7	206	25544
8	209	23024
9	211	20982
10	215	19330
11	217	17926
12	220	16747
13	223	15720
14	225	14816
15	227	14018
16	230	13319
17	232	12691
18	234	12132
19	271	13326
20	274	12790
21	276	12304
22	279	11858
23	281	11460
24	284	11079
25	286	10727
26	288	10401
27	291	10104
28	293	9824
29	295	9565
30	298	9319
31	300	9088
32	302	8871
33	319	9066
34	333	9189
35	337	9048
36	343	8931
37	347	8789
38	350	8636
39	353	8476
40	356	8344
41	359	8190
42	362	8060
43	364	7923
44	374	7956
45	377	7822
46	379	7703
47	382	7579
48	385	7479
49	388	7373
50	390	7268
51	393	7167
52	395	7060
53	397	6964
54	399	6862
55	401	6762
56	403	6677
57	405	6585
58	407	6496
59	409	6415
60	412	6344
61	414	6272
62	416	6193
63	418	6121
64	420	6055
65	422	5984
66	424	5914
67	426	5844
68	428	5778
69	429	5712
70	432	5659
71	434	5605
72	436	5548
73	438	5488
74	440	5433
75	442	5385
76	444	5332
77	446	5277
78	448	5226
79	449	5172
80	451	5127
81	456	5107
82	459	5077
83	464	5060
84	465	5013
85	468	4977
86	469	4927
87	472	4894
88	474	4858
89	477	4825
90	478	4783
91	480	4742
92	482	4705
93	484	4667
94	486	4630
95	487	4594
96	489	4558
97	491	4521
98	492	4484
99	494	4449
100	496	4415
101	496	4374
102	498	4340
103	500	4308
104	501	4276
105	503	4244
106	504	4211
107	506	4184
108	508	4153
109	509	4123
110	511	4093
111	512	4064
112	515	4043
113	517	4018
114	518	3992
115	520	3964
116	521	3938
117	523	3916
118	525	3886
119	526	3861
120	528	3837
121	529	3813
122	530	3783
123	532	3758
124	533	3733
125	534	3709
126	536	3686
127	537	3659
128	538	3637
129	540	3618
130	542	3598
131	544	3582
132	546	3563
133	548	3543
134	549	3522
135	551	3501
136	552	3481
137	553	3460
138	557	3450
139	560	3443
140	564	3438
141	566	3423
142	569	3410
143	571	3394
144	572	3378
145	574	3361
146	576	3345
147	578	3328
148	579	3311
149	582	3298
150	583	3283
151	585	3268
152	588	3258
153	590	3245
154	592	3231
155	594	3218
156	599	3217
157	600	3201
158	603	3189
159	604	3175
160	606	3161
161	608	3149
162	611	3141
163	613	3129
164	616	3122
165	620	3118
166	622	3106
167	625	3097
168	627	3085
169	629	3074
170	631	3063
171	634	3052
172	636	3043
173	638	3031
174	640	3020
175	642	3008
176	644	2995
177	646	2984
178	648	2972
179	649	2960
180	651	2946
181	652	2934
182	654	2923
183	656	2912
184	658	2902
185	660	2891
186	662	2880
187	664	2870
188	666	2861
189	669	2853
190	671	2844
191	673	2833
192	675	2823
193	677	2813
194	679	2804
195	681	2793
196	682	2782
