iter	Passed	Remaining
0	156	156377
1	171	85708
2	185	61577
3	205	51072
4	220	43928
5	226	37547
6	234	33334
7	246	30584
8	264	29143
9	282	27955
10	311	28013
11	314	25906
12	316	24054
13	320	22554
14	322	21187
15	332	20466
16	335	19394
17	337	18410
18	342	17709
19	345	16941
20	347	16203
21	353	15731
22	362	15397
23	364	14823
24	366	14307
25	392	14693
26	395	14268
27	398	13833
28	400	13409
29	404	13091
30	407	12735
31	412	12466
32	415	12161
33	420	11933
34	422	11661
35	425	11381
36	427	11121
37	429	10862
38	436	10750
39	438	10521
40	440	10311
41	443	10110
42	445	9906
43	450	9797
44	453	9617
45	455	9440
46	457	9270
47	459	9105
48	462	8984
49	464	8834
50	466	8684
51	468	8538
52	470	8398
53	471	8260
54	477	8195
55	478	8070
56	480	7948
57	482	7830
58	483	7717
59	485	7605
60	490	7548
61	493	7459
62	494	7359
63	496	7259
64	498	7167
65	500	7085
66	504	7024
67	506	6938
68	507	6851
69	509	6766
70	512	6699
71	514	6630
72	518	6588
73	521	6522
74	522	6449
75	524	6379
76	527	6323
77	530	6267
78	534	6229
79	536	6167
80	538	6108
81	541	6057
82	542	5990
83	544	5933
84	547	5889
85	549	5845
86	551	5791
87	553	5740
88	556	5694
89	558	5643
90	562	5616
91	565	5580
92	567	5537
93	569	5491
94	571	5446
95	574	5411
96	576	5371
97	578	5327
98	580	5282
99	582	5241
100	586	5221
101	589	5189
102	593	5166
103	595	5127
104	596	5086
105	598	5047
106	600	5013
107	602	4977
108	610	4992
109	613	4960
110	615	4929
111	617	4894
112	621	4880
113	624	4854
114	626	4821
115	628	4789
116	629	4753
117	631	4721
118	633	4689
119	638	4679
120	640	4650
121	641	4617
122	643	4586
123	645	4558
124	647	4530
125	652	4524
126	654	4496
127	656	4470
128	658	4443
129	660	4418
130	661	4390
131	667	4387
132	669	4363
133	671	4338
134	673	4312
135	675	4288
136	676	4263
137	681	4255
138	684	4240
139	686	4218
140	688	4197
141	690	4170
142	691	4146
143	696	4137
144	698	4119
145	700	4098
146	702	4075
147	704	4053
148	706	4032
149	711	4030
150	713	4012
151	715	3991
152	717	3971
153	719	3950
154	720	3929
155	724	3922
156	727	3907
157	729	3889
158	731	3869
159	733	3850
160	734	3828
161	736	3809
162	752	3861
163	758	3865
164	760	3850
165	765	3843
166	771	3845
167	773	3831
168	780	3836
169	782	3821
170	791	3834
171	793	3817
172	796	3805
173	798	3788
174	804	3793
175	807	3780
176	810	3767
177	816	3769
178	818	3755
179	821	3743
180	823	3728
181	826	3712
182	836	3734
183	838	3719
184	842	3711
185	849	3717
186	855	3720
187	866	3743
188	870	3736
189	872	3720
190	876	3713
191	881	3709
192	883	3694
193	895	3720
194	899	3714
195	901	3699
196	903	3684
197	912	3695
198	920	3705
199	927	3708
200	930	3697
201	932	3682
202	934	3667
203	939	3667
204	944	3661
205	948	3655
206	951	3645
207	960	3658
208	963	3645
209	968	3643
210	977	3653
211	979	3639
212	981	3625
213	988	3631
214	990	3617
215	993	3607
216	1004	3624
217	1007	3615
218	1010	3603
219	1016	3602
220	1019	3594
221	1023	3588
222	1025	3574
223	1029	3567
224	1037	3574
225	1040	3564
226	1043	3552
227	1050	3558
228	1070	3603
229	1074	3597
230	1085	3614
231	1095	3627
232	1100	3624
233	1103	3610
234	1109	3611
235	1114	3607
236	1131	3641
237	1137	3642
238	1151	3665
239	1160	3675
240	1164	3666
241	1169	3662
242	1178	3670
243	1180	3658
244	1183	3646
245	1186	3635
246	1190	3630
247	1193	3619
248	1195	3605
249	1197	3592
250	1199	3580
251	1206	3580
252	1208	3568
253	1210	3556
254	1213	3544
255	1218	3540
256	1221	3532
257	1228	3531
258	1230	3521
259	1235	3515
260	1238	3505
261	1240	3494
262	1247	3496
263	1251	3490
264	1254	3480
265	1257	3469
266	1266	3477
267	1269	3466
268	1271	3454
269	1276	3452
270	1279	3442
271	1281	3430
272	1283	3418
273	1285	3406
274	1288	3396
275	1293	3391
276	1295	3381
277	1297	3370
278	1300	3359
279	1302	3349
280	1308	3348
281	1312	3340
282	1314	3331
283	1316	3319
284	1320	3313
285	1324	3305
286	1326	3295
287	1328	3283
288	1330	3272
289	1334	3267
290	1337	3259
291	1340	3249
292	1342	3238
293	1344	3227
294	1345	3216
295	1350	3211
296	1352	3201
297	1354	3191
298	1356	3179
299	1358	3168
300	1359	3157
301	1361	3145
302	1364	3139
303	1367	3130
304	1369	3119
305	1370	3108
306	1372	3097
307	1373	3087
308	1376	3077
309	1382	3076
310	1384	3066
311	1385	3056
312	1388	3047
313	1389	3036
314	1397	3039
315	1400	3031
316	1402	3021
317	1405	3014
318	1409	3009
319	1413	3003
320	1418	2999
321	1420	2990
322	1429	2996
323	1434	2992
324	1436	2983
325	1445	2987
326	1448	2980
327	1450	2971
328	1464	2986
329	1467	2980
330	1475	2983
331	1478	2973
332	1484	2973
333	1492	2977
334	1495	2968
335	1497	2959
336	1504	2959
337	1507	2952
338	1510	2945
339	1512	2936
340	1523	2945
341	1528	2940
342	1533	2937
343	1538	2933
344	1540	2924
345	1542	2915
346	1544	2906
347	1557	2918
348	1559	2909
349	1569	2914
350	1572	2908
351	1575	2900
352	1584	2904
353	1586	2895
354	1589	2888
355	1595	2887
356	1599	2880
357	1601	2871
358	1604	2864
359	1606	2855
360	1611	2852
361	1620	2856
362	1627	2856
363	1632	2852
364	1635	2845
365	1637	2836
366	1648	2843
367	1651	2837
368	1657	2833
369	1661	2828
370	1663	2820
371	1665	2811
372	1667	2802
373	1672	2799
374	1677	2795
375	1679	2787
376	1681	2778
377	1683	2770
378	1692	2773
379	1694	2765
380	1696	2756
381	1698	2748
382	1703	2743
383	1706	2736
384	1708	2728
385	1709	2719
386	1711	2711
387	1713	2702
388	1718	2699
389	1721	2692
390	1723	2684
391	1724	2675
392	1726	2666
393	1728	2658
394	1730	2650
395	1733	2643
396	1734	2634
397	1736	2626
398	1738	2618
399	1741	2612
400	1743	2603
401	1746	2597
402	1748	2590
403	1749	2581
404	1751	2573
405	1752	2564
406	1754	2556
407	1755	2547
408	1759	2542
409	1762	2535
410	1763	2527
411	1765	2519
412	1766	2510
413	1767	2502
414	1769	2494
415	1770	2486
416	1774	2481
417	1776	2473
418	1778	2465
419	1779	2457
420	1781	2449
421	1782	2441
422	1783	2433
423	1785	2425
424	1788	2420
425	1791	2414
426	1793	2406
427	1794	2398
428	1796	2391
429	1798	2384
430	1800	2376
431	1803	2371
432	1806	2365
433	1808	2358
434	1810	2350
435	1811	2343
436	1813	2335
437	1814	2328
438	1818	2323
439	1821	2317
440	1822	2310
441	1824	2303
442	1826	2296
443	1828	2289
444	1829	2281
445	1833	2277
446	1836	2271
447	1837	2264
448	1839	2257
449	1841	2250
450	1843	2243
451	1844	2236
452	1847	2231
453	1849	2224
454	1851	2217
455	1852	2210
456	1855	2204
457	1857	2198
458	1860	2192
459	1863	2187
460	1865	2180
461	1866	2173
462	1868	2166
463	1869	2159
464	1871	2152
465	1872	2145
466	1874	2139
467	1878	2135
468	1880	2128
469	1881	2122
470	1883	2115
471	1884	2108
472	1886	2102
473	1888	2095
474	1891	2090
475	1893	2083
476	1894	2077
477	1895	2070
478	1897	2063
479	1898	2056
480	1900	2050
481	1902	2044
482	1905	2039
483	1907	2034
484	1909	2027
485	1910	2020
486	1912	2014
487	1913	2007
488	1914	2001
489	1916	1994
490	1917	1987
491	1920	1983
492	1922	1977
493	1924	1971
494	1925	1964
495	1926	1957
496	1928	1951
497	1929	1944
498	1930	1938
499	1932	1932
500	1936	1929
501	1938	1923
502	1939	1916
503	1941	1910
504	1942	1904
505	1944	1898
506	1945	1891
507	1946	1885
508	1948	1879
509	1952	1876
510	1954	1870
511	1955	1864
512	1957	1858
513	1958	1851
514	1960	1845
515	1961	1839
516	1964	1835
517	1967	1830
518	1969	1824
519	1970	1818
520	1971	1812
521	1973	1806
522	1974	1800
523	1975	1794
524	1977	1789
525	1980	1784
526	1982	1779
527	1984	1773
528	1985	1768
529	1987	1762
530	1989	1756
531	1990	1751
532	1991	1745
533	1996	1742
534	1998	1736
535	1999	1731
536	2001	1725
537	2002	1719
538	2004	1714
539	2005	1708
540	2008	1704
541	2011	1699
542	2012	1693
543	2014	1688
544	2015	1682
545	2017	1677
546	2018	1671
547	2020	1666
548	2024	1663
549	2026	1658
550	2028	1652
551	2029	1647
552	2030	1641
553	2032	1636
554	2034	1631
555	2035	1625
556	2038	1621
557	2041	1616
558	2042	1611
559	2043	1605
560	2045	1600
561	2046	1595
562	2048	1589
563	2049	1584
564	2054	1581
565	2055	1576
566	2057	1571
567	2059	1566
568	2060	1561
569	2063	1556
570	2065	1551
571	2070	1549
572	2073	1545
573	2076	1541
574	2079	1536
575	2080	1531
576	2084	1528
577	2091	1527
578	2094	1522
579	2096	1518
580	2102	1516
581	2104	1511
582	2107	1507
583	2109	1502
584	2119	1503
585	2121	1499
586	2123	1494
587	2126	1490
588	2133	1488
589	2136	1484
590	2139	1480
591	2142	1476
592	2152	1477
593	2153	1472
594	2156	1468
595	2158	1463
596	2168	1463
597	2170	1459
598	2173	1455
599	2177	1451
600	2180	1447
601	2183	1443
602	2184	1438
603	2186	1433
604	2194	1432
605	2197	1429
606	2201	1425
607	2206	1422
608	2211	1420
609	2213	1415
610	2215	1410
611	2224	1410
612	2228	1406
613	2239	1408
614	2243	1404
615	2245	1399
616	2259	1402
617	2262	1398
618	2264	1393
619	2273	1393
620	2275	1388
621	2280	1385
622	2287	1384
623	2289	1379
624	2291	1374
625	2293	1370
626	2298	1367
627	2301	1363
628	2303	1358
629	2306	1354
630	2308	1350
631	2315	1348
632	2318	1344
633	2320	1339
634	2323	1335
635	2326	1331
636	2330	1328
637	2336	1325
638	2338	1320
639	2339	1316
640	2347	1314
641	2349	1310
642	2352	1305
643	2353	1301
644	2355	1296
645	2362	1294
646	2365	1290
647	2367	1285
648	2369	1281
649	2372	1277
650	2375	1273
651	2377	1268
652	2379	1264
653	2380	1259
654	2382	1254
655	2384	1250
656	2385	1245
657	2388	1241
658	2389	1236
659	2390	1231
660	2392	1226
661	2393	1222
662	2395	1217
663	2396	1212
664	2398	1208
665	2402	1204
666	2404	1200
667	2406	1196
668	2408	1191
669	2409	1186
670	2411	1182
671	2413	1177
672	2414	1173
673	2416	1168
674	2418	1164
675	2420	1160
676	2422	1155
677	2424	1151
678	2427	1147
679	2428	1142
680	2430	1138
681	2431	1133
682	2433	1129
683	2434	1124
684	2436	1120
685	2438	1115
686	2441	1112
687	2442	1107
688	2444	1103
689	2446	1099
690	2448	1094
691	2449	1090
692	2451	1085
693	2455	1082
694	2456	1078
695	2458	1073
